context,context_label,chinese,english,source_file:line
draw_label,Panel 标签,“一切按钮只出现的原生面板上它该出现的地方”,"""Every button appears only where it belongs in native panels""",addon_prefs.py:13
report,报告消息,⚠️ 请先设置两个控制点,Please set two control points first,ops\nodetree\nodetree_convert_image_to_gradient.py:716
report,报告消息,⚠️ 采样点已达上限32个,Sample points reached max of 32,ops\nodetree\nodetree_convert_image_to_gradient.py:889
report,报告消息,✅ 已生成 16 个均匀采样点,Generated 16 evenly-spaced sample points,ops\nodetree\nodetree_convert_image_to_gradient.py:764
report,报告消息,✅ 已生成 32 个均匀采样点（上限）,Generated 32 evenly-spaced sample points (max),ops\nodetree\nodetree_convert_image_to_gradient.py:771
report,报告消息,✅ 已生成 4 个均匀采样点,Generated 4 evenly-spaced sample points,ops\nodetree\nodetree_convert_image_to_gradient.py:750
report,报告消息,✅ 已生成 8 个均匀采样点,Generated 8 evenly-spaced sample points,ops\nodetree\nodetree_convert_image_to_gradient.py:757
report,报告消息,✅ 自动采样完成：精简为8个采样点,Auto-sampling done: simplified to 8 sample points,ops\nodetree\nodetree_convert_image_to_gradient.py:714
report,报告消息,✅ 采样点已均匀分布,Sample points evenly distributed,ops\nodetree\nodetree_convert_image_to_gradient.py:732
property_name,属性名,【↔】X 偏移 (+),X Offset (+),ops\nodetree\nodetree_color_curve_tools.py:408
property_name,属性名,【↔】X 缩放 (*),X Scale (*),ops\nodetree\nodetree_color_curve_tools.py:407
property_name,属性名,【↔】钳制 X (0-1),Clamp X (0-1),ops\nodetree\nodetree_color_curve_tools.py:409
property_name,属性名,【↕】Y 偏移 (+),Y Offset (+),ops\nodetree\nodetree_color_curve_tools.py:412
property_name,属性名,【↕】Y 缩放 (*),Y Scale (*),ops\nodetree\nodetree_color_curve_tools.py:411
property_name,属性名,【↕】钳制 Y (0-1),Clamp Y (0-1),ops\nodetree\nodetree_color_curve_tools.py:413
button_text,Operator 按钮文本,【开发者工具】获取活动节点详情信息,[Dev Tool] Get Active Node Details,menu\nodetree_mt.py:27; menu\nodetree_mt.py:27
property_desc,属性描述,一般使用默认插件类型即可,Default add-on type is recommended,ops\other\other_addon_pack.py:159
button_text,Operator 按钮文本,一键打包,One-Click Pack,menu\developer_tools_pt.py:31; menu\developer_tools_pt.py:31; ops\other\other_addon_pack.py:32
button_text,Operator 按钮文本,一键文件输出,One-Click File Output,ops\nodetree\nodetree_compositor_add_output_node.py:7
property_name,属性名,三维模式下的新建内容,New Content in 3D Mode,ops\nodetree\nodetree_image_and_clipboard.py:94
property_name,属性名,三维矢量,3D Vector,ops\view3d\view3d_mesh_attribute_tool.py:12
draw_label,Panel 标签,三维视口界面，新增更多程序化几何体至 ShiftA新建菜单,3D Viewport: adds more procedural meshes to the Shift+A Add menu,addon_prefs.py:19
draw_label,Panel 标签,三维视口界面，新增更多融并工具至 编辑模式 M融并菜单,3D Viewport: adds more merge tools to the Edit Mode M Merge menu,addon_prefs.py:20
draw_label,Panel 标签,三维视口界面，新增更多选择工具至 物体/编辑模式 选择菜单,3D Viewport: adds more selection tools to the Object/Edit Mode Select menus,addon_prefs.py:21
property_name,属性名,三角面,Triangle Face,ops\view3d\view3d_mesh_topology_hud.py:134
property_desc,属性描述,下一组开头相对于上一组结尾的偏移帧数（负值=重叠，0=首尾相连，正值=间隔）,"Offset from previous group end to next group start (negative=overlap, 0=butt-join, positive=gap)",ops\sequencer\sequencer_stack_strips.py:15
button_text,Operator 按钮文本,与我们汇聚,Join Us,addon_prefs.py:69; addon_prefs.py:69
property_name,属性名,世界角度阈值,World Angle Threshold,ops\view3d\view3d_mesh_filter_batch_selector.py:263
property_desc,属性描述,两条边最近距离小于此值即视为相交打断,Edges are split where the closest distance between them is below this value,ops\view3d\view3d_mesh_intersect_edges.py:74
button_text,Operator 按钮文本,中文,Chinese,scripts\extract_translations.py:63; scripts\extract_translations.py:77; scripts\extract_translations.py:96; scripts\extract_translations.py:100; scripts\extract_translations.py:124
button_text,Operator 按钮文本,临时吸管,Temporary Eyedropper,ops\other\other_developer_panel_picker.py:142
draw_label,Panel 标签,主要功能包括不限于：,Main features include but are not limited to:,addon_prefs.py:16
property_name,属性名,二维矢量,2D Vector,ops\view3d\view3d_mesh_attribute_tool.py:11
button_text,Operator 按钮文本,交换位置,Swap Positions,menu\sequencer_mt.py:18; menu\sequencer_mt.py:18; ops\sequencer\sequencer_swap_strips.py:9
property_name,属性名,交点容差,Intersection Tolerance,ops\view3d\view3d_mesh_intersect_edges.py:74
button_text,Operator 按钮文本,交点打断,Intersect Edges,ops\view3d\view3d_mesh_intersect_edges.py:69
property_name,属性名,交点融并,Merge Intersections,ops\view3d\view3d_mesh_intersect_edges.py:77
property_name,属性名,仅写入所选,Selected Only,ops\view3d\view3d_mesh_attribute_tool.py:26
property_name,属性名,仅应用所选,Selected Only,ops\view3d\view3d_mesh_vertex_color_tool.py:69
property_name,属性名,仅目录,Directories Only,ops\filebrowser\filebrowser_file_tools.py:187
property_name,属性名,仅移除不可见修改器,Remove Hidden Modifiers Only,ops\view3d\view3d_obj_modifier_tools.py:55
property_name,属性名,仅色相随机,Hue Only Random,ops\other\other_material_dye_tool.py:65
property_desc,属性描述,仅重命名匹配的文件，如 *.png,"Only rename matching files, e.g. *.png",ops\filebrowser\filebrowser_file_tools.py:48
button_text,Operator 按钮文本,从剪贴板创建颜色渐变条,Create Color Ramp from Clipboard,menu\nodetree_add_mt.py:22; menu\nodetree_add_mt.py:22
button_text,Operator 按钮文本,从剪贴板图像生成渐变,Generate Gradient from Clipboard,ops\nodetree\nodetree_convert_image_to_gradient.py:986
button_text,Operator 按钮文本,从剪贴板粘贴图像到所选节点,Paste Image from Clipboard to Selected Node,menu\nodetree_mt.py:75; menu\nodetree_mt.py:75
property_desc,属性描述,从起始边向外延伸的边数 (0为仅选中当前边),Number of edges to extend from the start edge (0 = current edge only),ops\view3d\view3d_mesh_select_nonmanifold_edge_loop.py:92; ops\view3d\view3d_mesh_select_nonmanifold_edge_loop.py:229
button_text,Operator 按钮文本,以视口设置法向,Set Normals by Viewport,ops\view3d\view3d_mesh_flip_normals_by_view.py:10
button_text,Operator 按钮文本,优化加速,Optimize & Cleanup,ops\other\other_system_optimization.py:43
draw_label,Panel 标签,优化加速会尽可能的帮助您清理本文件的可清理缓存，包括：,"Cleanup will try to clear caches in this file, including:",ops\other\other_system_optimization.py:140
property_name,属性名,优化排序,Optimized Ordering,ops\other\other_object_dye_tool.py:274
property_name,属性名,优化显示,Optimized Display,ops\other\other_object_dye_tool.py:182
property_name,属性名,伽马空间混合,Gamma Space Mix,ops\nodetree\nodetree_color_ramp_tools.py:427
button_text,Operator 按钮文本,位移,Location,ops\view3d\view3d_parent_transform.py:219; ops\view3d\view3d_parent_transform.py:219
property_name,属性名,位置,Location,ops\view3d\view3d_cursor_to_selected.py:114
property_name,属性名,作用范围,Scope,ops\view3d\view3d_obj_modifier_tools.py:50
property_desc,属性描述,使用 1.0.0即可，否则可能影响打包,Use 1.0.0; other values may break packaging,ops\other\other_addon_pack.py:150
property_name,属性名,使用其他UV通道,Use Other UV Channel,ops\nodetree\nodetree_shader_bake_node.py:137
property_name,属性名,使用场景帧,Use Scene Frame,ops\other\other_background_render.py:174
property_name,属性名,使用场景帧信息,Use Scene Frame Info,ops\other\other_background_render.py:207
property_desc,属性描述,使用场景当前帧信息进行渲染,Use the scene's current frame for rendering,ops\other\other_background_render.py:174
property_desc,属性描述,使用场景设置的输出路径,Use the scene's configured output path,ops\other\other_background_render.py:183
property_name,属性名,使用场景输出路径,Use Scene Output Path,ops\other\other_background_render.py:183; ops\other\other_background_render.py:218
property_name,属性名,使用最小边界框,Use Minimal Bounding Box,ops\outliner\outliner_collection_instance.py:15
property_name,属性名,使用正则,Use Regex,ops\filebrowser\filebrowser_file_tools.py:37
property_name,属性名,使用源通道,Use Source Channel,ops\nodetree\nodetree_color_curve_tools.py:281
button_text,Operator 按钮文本,依据图像生成渐变,Generate Gradient from Image,ops\nodetree\nodetree_convert_image_to_gradient.py:966
button_text,Operator 按钮文本,依据图像生成渐变基类,Image to Gradient (Base),ops\nodetree\nodetree_convert_image_to_gradient.py:292
property_name,属性名,侧向滑动,Side Slide,ops\view3d\view3d_mesh_edge_loop_select.py:48
draw_label,Panel 标签,便捷工具,Quick Tools,menu\texteditor_mt.py:46
button_text,Operator 按钮文本,保存当前渐变,Save Current Gradient,ops\nodetree\nodetree_ramp_library.py:512; ops\nodetree\nodetree_ramp_library.py:542
button_text,Operator 按钮文本,保存渐变预设,Save Gradient Preset,ops\nodetree\nodetree_ramp_library.py:297
button_text,Operator 按钮文本,保存预设,Save Preset,ops\other\other_addon_filter.py:68
property_name,属性名,保留扩展名,Keep Extension,ops\filebrowser\filebrowser_file_tools.py:46
button_text,Operator 按钮文本,修复应用后的旋转（适合曲面）,Fix Applied Rotation (Curved),ops\view3d\view3d_fix_applied_rotation.py:267
button_text,Operator 按钮文本,修复应用后的旋转（适合硬表面）,Fix Applied Rotation (Hard Surface),ops\view3d\view3d_fix_applied_rotation.py:328
property_name,属性名,修改器,Modifier,ops\view3d\view3d_obj_filter_batch_selector.py:67
property_name,属性名,修改器过滤,Modifier Filter,ops\view3d\view3d_obj_modifier_tools.py:30
button_text,Operator 按钮文本,修改实例原点,Adjust Instance Origin,ops\outliner\outliner_collection_instance.py:293; ops\outliner\outliner_collection_instance.py:417
draw_label,Panel 标签,偏好设置界面，新增更多开发工具至底部 开发者工具 界面,Preferences: adds more dev tools to the Developer Tools section,addon_prefs.py:24
draw_label,Panel 标签,偏移控制:,Offset Control:,ops\view3d\view3d_mesh_edge_loop_select.py:75; ops\view3d\view3d_mesh_face_loop_select.py:76
button_text,Operator 按钮文本,停止,Stop,ops\view3d\view3d_mesh_topology_hud.py:949
draw_label,Panel 标签,共享开发指南、性能优化方案及已知常见 Bug 库,"Shared dev guides, performance optimizations, and a known-bug library",addon_prefs.py:59
property_name,属性名,关键词,Keyword,ops\view3d\view3d_obj_filter_batch_selector.py:54
button_text,Operator 按钮文本,关闭过滤,Disable Filter,ops\other\other_addon_filter.py:144
button_text,Operator 按钮文本,内存优化,Memory Cleanup,menu\blender_mt_custom.py:217; menu\blender_mt_custom.py:217
button_text,Operator 按钮文本,写入全部,Write All,ops\view3d\view3d_mesh_attribute_tool.py:173; ops\view3d\view3d_mesh_attribute_tool.py:173; ops\view3d\view3d_mesh_vertex_color_tool.py:222; ops\view3d\view3d_mesh_vertex_color_tool.py:222
button_text,Operator 按钮文本,写入属性,Write Attribute,ops\view3d\view3d_mesh_attribute_tool.py:21
button_text,Operator 按钮文本,写入所选,Write Selected,ops\view3d\view3d_mesh_attribute_tool.py:175; ops\view3d\view3d_mesh_attribute_tool.py:175; ops\view3d\view3d_mesh_vertex_color_tool.py:224; ops\view3d\view3d_mesh_vertex_color_tool.py:224
property_desc,属性描述,决定镜像平面的中心位置,Determines the center of the mirror plane,ops\view3d\view3d_obj_mirror.py:134
property_desc,属性描述,决定镜像平面的旋转朝向,Determines the orientation of the mirror plane,ops\view3d\view3d_obj_mirror.py:121
report,报告消息,出现了BUG，已安全退出,"Bug detected, safely exited",ops\nodetree\nodetree_convert_image_to_gradient.py:959
property_name,属性名,分辨率,Resolution,ops\nodetree\nodetree_shader_bake_node.py:129
button_text,Operator 按钮文本,切换标题栏显示,Toggle Header Display,ops\filebrowser\filebrowser_jump_to_active_folder.py:50
button_text,Operator 按钮文本,切换过滤,Toggle Filter,ops\other\other_addon_filter.py:16
property_name,属性名,划界,Boundary,ops\view3d\view3d_mesh_custom_island_expand.py:44
button_text,Operator 按钮文本,创建空物体 (支持修饰键),Add Empty (Modifier Keys),ops\outliner\outliner_empty_and_lock.py:39
button_text,Operator 按钮文本,创建空物体组,Create Empty Group,menu\outliner_mt.py:10; menu\outliner_mt.py:10; ops\outliner\outliner_create_empty_group.py:8
button_text,Operator 按钮文本,删除,Delete,ops\other\other_addon_filter.py:124; ops\view3d\view3d_collection_visibility.py:64
button_text,Operator 按钮文本,删除卡片,Delete Card,ops\view3d\view3d_mesh_filter_batch_selector.py:146; ops\view3d\view3d_obj_filter_batch_selector.py:172
report,报告消息,删除所选筛查卡片,Delete selected filter card,ops\view3d\view3d_obj_filter_batch_selector.py:179
draw_label,Panel 标签,删除点,Delete Point,ops\nodetree\nodetree_convert_image_to_gradient.py:284
draw_label,Panel 标签,删除采样点,Delete Sample Point,ops\nodetree\nodetree_convert_image_to_gradient.py:271
button_text,Operator 按钮文本,删除预设,Delete Preset,ops\nodetree\nodetree_ramp_library.py:365
draw_label,Panel 标签,别把生命浪费在已知问题上，让我们聚焦真正的功能创新,Don't waste life on known problems; focus on real innovation,addon_prefs.py:60
button_text,Operator 按钮文本,刷新插件,Reload Addon,addon_prefs.py:165; addon_prefs.py:165
button_text,Operator 按钮文本,刷新绑定 (若集合内新增了对象请点击),Refresh Bindings (Click if objects added to collection),ops\view3d\view3d_collection_visibility.py:77
property_name,属性名,前缀,Prefix,ops\filebrowser\filebrowser_file_tools.py:40
property_name,属性名,剪贴板,Clipboard,ops\other\other_addon_pack.py:223
report,报告消息,剪贴板中没有有效的图像数据或粘贴失败,No valid image data in clipboard or paste failed,ops\nodetree\nodetree_image_and_clipboard.py:109; ops\nodetree\nodetree_image_and_clipboard.py:205
report,报告消息,剪贴板中没有有效的数据,No valid data in clipboard,ops\view3d\view3d_obj_elements_clipboard.py:173
report,报告消息,剪贴板中没有有效的曲线数据,No valid curve data in clipboard,ops\nodetree\nodetree_color_curve_tools.py:304
report,报告消息,剪贴板中没有有效的渐变数据,No valid gradient data in clipboard,ops\nodetree\nodetree_color_ramp_tools.py:499
report,报告消息,剪贴板无图像,No image in clipboard,ops\nodetree\nodetree_convert_image_to_gradient.py:994
other,其他,剪贴板渐变,Clipboard Gradient,ops\nodetree\nodetree_convert_image_to_gradient.py:621
button_text,Operator 按钮文本,功能介绍,Feature Overview,addon_prefs.py:31; addon_prefs.py:31
draw_label,Panel 标签,功能补充中,Feature Coming Soon,menu\view3d_mt.py:12
property_desc,属性描述,加载时执行 chcp 65001 切换控制台编码为 UTF-8，避免中文日志乱码（仅 Windows）,"Runs chcp 65001 at load to switch console encoding to UTF-8, avoiding garbled Chinese logs (Windows only)",addon_prefs.py:135
draw_label,Panel 标签,动画预览缓存、剪辑代理缓存、图像缓存、Python垃圾回收,"Animation preview cache, clip proxy cache, image cache, Python garbage collection",ops\other\other_system_optimization.py:144
property_desc,属性描述,勾选后，仅移除在视图中被隐藏的修改器,"When checked, only removes modifiers that are hidden in the viewport",ops\view3d\view3d_obj_modifier_tools.py:56
property_desc,属性描述,勾选启用后，在渲染单帧图像时，也自动保存到输出目录,"When enabled, also auto-saves single-frame renders to the output directory",ops\other\other_auto_save_render.py:96
property_desc,属性描述,勾选时步长自动依据每个顶层父级的最大子级层数计算，顶层为1、底层为0.4,"When checked, the step is auto-calculated from each top-level parent's max child depth (top=1, bottom=0.4)",ops\other\other_object_dye_tool.py:182
property_name,属性名,包含,Contains,ops\view3d\view3d_obj_filter_batch_selector.py:251
property_name,属性名,包含路径,Include Paths,ops\other\other_addon_pack.py:235
property_name,属性名,区分大小写,Case Sensitive,ops\filebrowser\filebrowser_file_tools.py:38
button_text,Operator 按钮文本,单帧自动保存,Single-Frame Auto Save,ops\other\other_auto_save_render.py:69
button_text,Operator 按钮文本,卡片式高级选择器,Card-Based Advanced Selector,ops\view3d\view3d_obj_filter_batch_selector.py:187
button_text,Operator 按钮文本,压实轨道,Compact Channels,ops\sequencer\sequencer_compact_channels.py:8
button_text,Operator 按钮文本,去除行尾空白,Remove Trailing Spaces,menu\texteditor_mt.py:41; menu\texteditor_mt.py:41; ops\texteditor\texteditor_editing_tool.py:98
button_text,Operator 按钮文本,双色标,Double Stops,menu\nodetree_mt.py:117; menu\nodetree_mt.py:117; ops\nodetree\nodetree_color_ramp_tools.py:78
property_name,属性名,反向,Invert,ops\view3d\view3d_mesh_filter_batch_selector.py:69
button_text,Operator 按钮文本,反向堆叠,Stack Reverse,ops\sequencer\sequencer_stack_simple.py:38
button_text,Operator 按钮文本,反色色标颜色,Invert Stop Colors,menu\nodetree_mt.py:116; menu\nodetree_mt.py:116
button_text,Operator 按钮文本,反色颜色,Invert Colors,ops\nodetree\nodetree_color_ramp_tools.py:64
button_text,Operator 按钮文本,反转过滤,Invert Filter,ops\other\other_addon_filter.py:37
button_text,Operator 按钮文本,变换曲线,Transform Curve,ops\nodetree\nodetree_color_curve_tools.py:400
report,报告消息,只有参考物体被选中，没有需要镜像的其他对象,Only the reference object is selected; no other objects to mirror,ops\view3d\view3d_obj_mirror.py:215
button_text,Operator 按钮文本,可视化 UV 投射,Visual UV Projection,ops\view3d\view3d_obj_visual_uv_projection.py:103; ops\view3d\view3d_obj_visual_uv_projection.py:332
status_text,状态栏文本,可视化 UV 投射 | Tab切换模式 | F适配物体 | ESC退出,Visual UV Projection | Tab switch mode | F fit object | ESC exit,ops\view3d\view3d_obj_visual_uv_projection.py:268
property_desc,属性描述,各材质槽边缘,Edges between material slots,ops\view3d\view3d_mesh_custom_island_expand.py:49
property_name,属性名,名称,Name,ops\nodetree\nodetree_ramp_library.py:302
report,报告消息,名称不能为空,Name cannot be empty,ops\nodetree\nodetree_ramp_library.py:351
property_name,属性名,名称包含,Name Contains,ops\view3d\view3d_obj_filter_batch_selector.py:230
button_text,Operator 按钮文本,后台渲染,Background Render,ops\other\other_background_render.py:162
button_text,Operator 按钮文本,后台渲染工具,Background Render Tools,ops\other\other_background_render.py:263
property_name,属性名,后缀,Suffix,ops\filebrowser\filebrowser_file_tools.py:41
button_text,Operator 按钮文本,向右堆叠,Stack Right,menu\sequencer_mt.py:15; menu\sequencer_mt.py:15
button_text,Operator 按钮文本,向右对齐,Align Right,menu\sequencer_mt.py:13; menu\sequencer_mt.py:13; ops\sequencer\sequencer_align_strips.py:32
button_text,Operator 按钮文本,向左堆叠,Stack Left,menu\sequencer_mt.py:14; menu\sequencer_mt.py:14
button_text,Operator 按钮文本,向左对齐,Align Left,menu\sequencer_mt.py:12; menu\sequencer_mt.py:12; ops\sequencer\sequencer_align_strips.py:9
button_text,Operator 按钮文本,启动 HUD,Start HUD,ops\view3d\view3d_mesh_topology_hud.py:951
button_text,Operator 按钮文本,启用WIN文件夹快速跳转栏,Enable Windows Folder Quick-Jump Bar,menu\filebrowser_mt.py:45; menu\filebrowser_mt.py:45
property_name,属性名,启用单帧自动保存,Enable Single-Frame Auto Save,ops\other\other_auto_save_render.py:84
property_desc,属性描述,启用后展开列表详细设置,Expand detail settings when enabled,ops\nodetree\nodetree_ramp_library.py:450
property_desc,属性描述,启用后，仅在渲染期间自动开启背景透明，渲染结束后自动恢复,"When enabled, auto-enables transparent background during render only, restoring after render",ops\other\other_deferred_transparent.py:38
property_desc,属性描述,启用时根据排序序号染色，否则根据真实比例染色,"Color by sort order when enabled, otherwise by real proportion",ops\other\other_object_dye_tool.py:274
property_desc,属性描述,启用时颜色在HSV的H等距排布，S和V为1，实现亮纯色随机,"When enabled, colors are evenly spaced in HSV hue with S/V at 1, producing bright pure random colors",ops\other\other_material_dye_tool.py:65; ops\other\other_object_dye_tool.py:103
property_name,属性名,启用正则匹配,Enable Regex Matching,ops\view3d\view3d_mesh_filter_batch_selector.py:38
property_desc,属性描述,启用虚拟边界划分网格为多个孤岛，在孤岛内加选或减选,Enable virtual boundaries to split the mesh into islands for adding/removing selection within an island,ops\view3d\view3d_mesh_custom_island_expand.py:44
property_name,属性名,启用通配符匹配,Enable Wildcard Matching,ops\view3d\view3d_mesh_filter_batch_selector.py:42
button_text,Operator 按钮文本,哔哩哔哩,Bilibili,addon_prefs.py:35; addon_prefs.py:35
property_name,属性名,四元数旋转,Quaternion Rotation,ops\view3d\view3d_cursor_to_selected.py:117
property_desc,属性描述,图像编辑器可执行文件路径,Path to image editor executable,ops\nodetree\nodetree_open_in_external_editor.py:132
report,报告消息,图像预览结束,Image preview ended,ops\nodetree\nodetree_preview_selected_image.py:191
property_name,属性名,图片格式,Image Format,ops\nodetree\nodetree_compositor_bake_node.py:94
property_name,属性名,圆点半径,Dot Radius,ops\view3d\view3d_mesh_topology_hud.py:126
property_desc,属性描述,在 3D 视图中为拥有子集的空物体显示边界框线框,Show bounding box wireframe for empties with children in the 3D viewport,addon_prefs.py:126
property_name,属性名,在三角面前停止,Stop Before Triangles,ops\view3d\view3d_mesh_select_nonmanifold_face_loop.py:86
button_text,Operator 按钮文本,在内部编辑器打开图像,Open Image in Internal Editor,menu\nodetree_mt.py:77; menu\nodetree_mt.py:77; ops\nodetree\nodetree_open_in_external_editor.py:45
button_text,Operator 按钮文本,在外部编辑器打开图像,Open Image in External Editor,menu\nodetree_mt.py:78; menu\nodetree_mt.py:78; ops\nodetree\nodetree_open_in_external_editor.py:129
property_desc,属性描述,在此处输入您想要的文本（支持多语言）,Enter desired text here (multilingual supported),ops\texteditor\texteditor_editing_tool.py:474
property_desc,属性描述,在每两个点之间插入的段数,Number of segments inserted between each pair of points,ops\nodetree\nodetree_color_curve_tools.py:650
property_desc,属性描述,在渲染中隐藏集合的子集对象\n可设置关键帧,Hide collection children in render\n(keyframeable),ops\view3d\view3d_collection_visibility.py:49
property_name,属性名,在渲染禁用,Disable in Render,ops\view3d\view3d_collection_visibility.py:49
property_desc,属性描述,在节点编辑器左下角显示节点树小地图预览,Show a node tree minimap preview at the bottom-left of the Node Editor,addon_prefs.py:130
property_desc,属性描述,在视图中隐藏集合的子集对象\n可设置关键帧,Hide collection children in viewport\n(keyframeable),ops\view3d\view3d_collection_visibility.py:47
property_name,属性名,在视图禁用,Disable in Viewport,ops\view3d\view3d_collection_visibility.py:47
property_desc,属性描述,在这里签署你的大名,Sign your name here,ops\other\other_addon_pack.py:144
property_name,属性名,在锐边处停止,Stop at Sharp Edges,ops\view3d\view3d_mesh_select_nonmanifold_face_loop.py:84
draw_label,Panel 标签,均匀分布,Even Distribution,ops\nodetree\nodetree_convert_image_to_gradient.py:283
button_text,Operator 按钮文本,均匀散布,Even Spacing,ops\nodetree\nodetree_color_ramp_tools.py:109
property_name,属性名,坐标系 (朝向),Coordinate System (Orientation),ops\view3d\view3d_obj_mirror.py:120
button_text,Operator 按钮文本,垂直翻转,Flip Vertical,menu\nodetree_mt.py:161; menu\nodetree_mt.py:161
property_desc,属性描述,基于修改器后的真实网格计算边界框（较慢但极其准确）,Compute bounding box from the actual modified mesh (slower but highly accurate),ops\outliner\outliner_collection_instance.py:11
property_name,属性名,基础名称,Base Name,ops\filebrowser\filebrowser_file_tools.py:43
draw_label,Panel 标签,基础设置:,Basic Settings:,ops\view3d\view3d_mesh_edge_loop_select.py:64; ops\view3d\view3d_mesh_face_loop_select.py:65
property_name,属性名,堆叠偏移,Stack Offset,ops\sequencer\sequencer_stack_strips.py:14
button_text,Operator 按钮文本,堆叠片段（偏移）,Stack Strips (Offset),ops\sequencer\sequencer_stack_strips.py:9
property_desc,属性描述,填写可以与你进行联系的网址,Fill in a URL to contact you,ops\other\other_addon_pack.py:168
button_text,Operator 按钮文本,增量 > 位置,Delta > Location,menu\blender_mt_custom.py:156; menu\blender_mt_custom.py:156
button_text,Operator 按钮文本,增量 > 全部变换,Delta > All,menu\blender_mt_custom.py:162; menu\blender_mt_custom.py:162
button_text,Operator 按钮文本,增量 > 旋转,Delta > Rotation,menu\blender_mt_custom.py:158; menu\blender_mt_custom.py:158
button_text,Operator 按钮文本,增量 > 缩放,Delta > Scale,menu\blender_mt_custom.py:160; menu\blender_mt_custom.py:160
property_name,属性名,处理方式,Handling,ops\view3d\view3d_obj_modifier_tools.py:41
property_name,属性名,处理模式,Processing Mode,ops\nodetree\nodetree_color_ramp_tools.py:215
button_text,Operator 按钮文本,处理节点,Process Node,ops\nodetree\nodetree_compositor_bake_node.py:39
property_name,属性名,复位模式,Reset Mode,ops\view3d\view3d_parent_transform.py:154
button_text,Operator 按钮文本,复位相对变换,Reset Relative Transform,ops\view3d\view3d_parent_transform.py:143
button_text,Operator 按钮文本,复制卡片,Copy Card,ops\view3d\view3d_mesh_filter_batch_selector.py:120; ops\view3d\view3d_obj_filter_batch_selector.py:145
report,报告消息,复制图像到剪贴板失败,Failed to copy image to clipboard,ops\nodetree\nodetree_image_and_clipboard.py:323
property_name,属性名,复制方式,Copy Method,ops\view3d\view3d_obj_mirror.py:145
button_text,Operator 按钮文本,复制曲线,Copy Curve,menu\nodetree_mt.py:147; menu\nodetree_mt.py:147; ops\nodetree\nodetree_color_curve_tools.py:235
button_text,Operator 按钮文本,复制渐变,Copy Gradient,menu\nodetree_mt.py:110; menu\nodetree_mt.py:110; ops\nodetree\nodetree_color_ramp_tools.py:458
button_text,Operator 按钮文本,复制选中元素,Copy Selected Elements,menu\view3d_mt.py:21; menu\view3d_mt.py:21; ops\view3d\view3d_obj_elements_clipboard.py:54
